school,sex,address,Medu,Fedu,traveltime,studytime,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1.0,0.0,1.0,1.0,0.75,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,0.5,0.1875,0.3333333333333333,0.5789473684210527,11.0
1.0,1.0,1.0,0.5,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.0,0.0,0.25,0.0625,0.5333333333333334,0.6842105263157894,12.0
1.0,1.0,1.0,0.5,0.5,0.6666666666666667,0.6666666666666667,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,0.5,0.0,0.0,0.0,0.25,0.6000000000000001,0.7894736842105263,15.0
1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.25,0.25,0.75,1.0,0.0,0.4666666666666666,0.631578947368421,11.0
0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.25,1.0,0.15625,0.3333333333333333,0.47368421052631576,9.0
1.0,0.0,1.0,0.5,0.25,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,0.75,1.0,0.75,0.75,1.0,0.125,0.4666666666666666,0.5263157894736842,11.0
1.0,1.0,1.0,1.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.25,0.0,0.0,0.0,0.125,0.6666666666666667,0.7894736842105263,15.0
1.0,1.0,1.0,0.75,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.0,1.0,0.125,0.5333333333333334,0.5789473684210527,11.0
1.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,1.0,0.4375,0.3333333333333333,0.42105263157894735,10.0
1.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.0,0.75,0.0,0.3333333333333333,0.5263157894736842,10.0
1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.0,0.25,1.0,0.1875,0.6666666666666667,0.6842105263157894,13.0
1.0,0.0,1.0,0.75,1.0,0.6666666666666667,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.75,1.0,0.25,0.75,0.25,0.125,0.3333333333333333,0.47368421052631576,10.0
1.0,1.0,1.0,0.5,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.5,0.25,0.3125,0.8,0.8421052631578947,16.0
1.0,1.0,0.0,0.75,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.5,0.25,0.5,0.25,0.0,0.6666666666666667,0.7368421052631579,16.0
1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.25,0.25,1.0,0.0,0.5333333333333334,0.6842105263157894,13.0
1.0,0.0,0.0,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0.6000000000000001,0.7368421052631579,15.0
1.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.5,0.5,0.25,0.25,0.25,0.125,0.5333333333333334,0.5789473684210527,11.0
1.0,1.0,1.0,0.5,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.5,0.5,0.75,1.0,0.5,0.39999999999999997,0.5789473684210527,11.0
1.0,1.0,1.0,0.25,0.25,0.0,0.6666666666666667,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.5,0.0,0.0,0.5,0.0,0.6000000000000001,0.6842105263157894,14.0
1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,0.75,0.75,0.25,0.5,0.75,0.0,0.8666666666666667,0.8421052631578947,16.0
1.0,1.0,1.0,0.25,0.25,0.6666666666666667,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.0,0.25,0.75,0.1875,0.4666666666666666,0.631578947368421,13.0
0.0,1.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.75,0.75,0.25,0.5,1.0,0.0625,0.5333333333333334,0.5789473684210527,12.0
1.0,0.0,1.0,0.75,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.25,0.0,0.5333333333333334,0.631578947368421,12.0
0.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.75,0.0,0.5333333333333334,0.6842105263157894,14.0
1.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.375,0.2,0.42105263157894735,5.0
0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,0.25,0.25,0.25,1.0,0.0,0.7333333333333334,0.8421052631578947,16.0
0.0,0.0,0.0,1.0,0.25,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.75,0.0,0.25,0.25,0.21875,0.2,0.47368421052631576,8.0
1.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.75,1.0,0.125,0.39999999999999997,0.47368421052631576,9.0
0.0,1.0,1.0,0.25,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.75,0.25,0.5,1.0,0.28125,0.3333333333333333,0.42105263157894735,8.0
1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.75,1.0,0.0625,0.4666666666666666,0.5789473684210527,12.0
1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.75,0.0,0.0,1.0,0.0,0.2,0.3684210526315789,8.0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.5,0.0,0.5,1.0,0.0,0.5333333333333334,0.6842105263157894,12.0
1.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.28125,0.4666666666666666,0.5263157894736842,10.0
1.0,0.0,1.0,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.75,1.0,0.5,0.0625,0.3333333333333333,0.5263157894736842,11.0
0.0,1.0,1.0,0.25,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.25,0.5,0.0625,0.4666666666666666,0.5263157894736842,11.0
1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,1.0,0.5,1.0,1.0,0.0,0.8666666666666667,0.9473684210526315,17.0
0.0,0.0,0.0,0.25,0.75,0.6666666666666667,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.25,0.75,0.5,1.0,0.5,0.0625,0.39999999999999997,0.5789473684210527,11.0
1.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.5,0.0,0.1875,0.6666666666666667,0.6842105263157894,13.0
0.0,1.0,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.5,0.0,0.0,0.25,0.03125,0.4666666666666666,0.5263157894736842,11.0
1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,1.0,0.25,0.0,0.25,0.5,0.0,0.4666666666666666,0.5263157894736842,11.0
1.0,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.5,1.0,0.0,0.4666666666666666,0.47368421052631576,10.0
1.0,1.0,1.0,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,1.0,0.0,1.0,0.25,0.0625,0.6666666666666667,0.7368421052631579,15.0
1.0,0.0,0.0,0.5,0.25,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.5263157894736842,11.0
0.0,1.0,0.0,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,0.0,0.0,1.0,0.0625,0.39999999999999997,0.42105263157894735,8.0
1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.25,0.5,0.0,0.25,0.25,0.3125,0.6000000000000001,0.6842105263157894,14.0
1.0,1.0,1.0,1.0,0.75,0.0,0.6666666666666667,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.75,0.75,0.25,0.75,0.75,0.0,0.6666666666666667,0.6842105263157894,13.0
1.0,1.0,1.0,0.5,0.5,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.5,0.25,0.5,0.75,0.0,0.6666666666666667,0.6842105263157894,13.0
0.0,1.0,0.0,0.25,0.25,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,0.5,0.25,0.0,0.0,1.0,0.28125,0.2,0.3684210526315789,7.0
0.0,0.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.75,1.0,0.5,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.75,0.75,0.1875,0.2,0.42105263157894735,8.0
1.0,1.0,1.0,0.75,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.39999999999999997,0.5789473684210527,11.0
0.0,0.0,1.0,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,0.75,0.5,0.0,0.5,1.0,0.125,0.26666666666666666,0.47368421052631576,9.0
0.0,1.0,0.0,0.25,0.25,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.25,0.0,0.0,0.26666666666666666,0.42105263157894735,9.0
1.0,1.0,0.0,0.25,0.25,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.75,0.25,0.75,1.0,0.0625,0.6000000000000001,0.5789473684210527,11.0
0.0,0.0,0.0,0.75,1.0,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.75,1.0,0.0,0.25,1.0,0.125,0.3333333333333333,0.5263157894736842,11.0
1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.5,0.0,0.5,0.5,0.03125,0.6000000000000001,0.6842105263157894,13.0
1.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.5333333333333334,0.5789473684210527,11.0
1.0,1.0,1.0,0.5,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.75,1.0,0.0,0.25,1.0,0.375,0.5333333333333334,0.631578947368421,14.0
0.0,1.0,1.0,0.75,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.25,0.06666666666666665,0.2631578947368421,7.0
1.0,0.0,1.0,0.5,0.5,0.0,0.6666666666666667,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,0.25,0.0,0.0,0.5,0.0,0.6666666666666667,0.7368421052631579,15.0
1.0,0.0,1.0,0.5,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.25,0.5,0.0,0.25,1.0,0.0,0.6000000000000001,0.7368421052631579,16.0
0.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.5,0.0,0.25,0.75,0.0,0.8666666666666667,0.9473684210526315,18.0
0.0,1.0,0.0,0.25,0.25,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.25,0.0,0.25,0.75,0.125,0.39999999999999997,0.5789473684210527,12.0
0.0,1.0,0.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.75,0.0,0.6666666666666667,0.894736842105263,15.0
0.0,0.0,0.0,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.5,0.25,0.0,0.5,1.0,0.0,0.06666666666666665,0.42105263157894735,0.0
1.0,1.0,1.0,0.75,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.5,0.0,1.0,0.6666666666666667,0.6842105263157894,14.0
0.0,1.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.0,1.0,0.0,0.5333333333333334,0.631578947368421,12.0
1.0,0.0,0.0,0.75,1.0,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,0.25,0.75,1.0,0.0625,0.39999999999999997,0.47368421052631576,10.0
1.0,1.0,1.0,0.5,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.5,0.75,0.0,0.25,0.25,0.1875,0.6000000000000001,0.5789473684210527,11.0
0.0,0.0,0.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.5,0.25,0.125,0.39999999999999997,0.5789473684210527,11.0
1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,0.25,0.75,0.0,0.0,0.75,0.0,0.6666666666666667,0.7894736842105263,15.0
1.0,1.0,1.0,0.75,0.75,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.75,0.3125,0.39999999999999997,0.5263157894736842,10.0
1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0625,0.6000000000000001,0.7368421052631579,14.0
1.0,1.0,1.0,0.5,0.75,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.75,0.5,0.0,0.5,0.75,0.125,0.4666666666666666,0.631578947368421,12.0
0.0,0.0,1.0,0.25,0.25,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.75,0.75,0.5,0.25,0.75,1.0,0.125,0.26666666666666666,0.47368421052631576,9.0
1.0,0.0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.75,0.0,0.75,0.75,0.3125,0.2,0.5789473684210527,11.0
0.0,1.0,0.0,0.25,0.25,1.0,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0,1.0,0.0625,0.39999999999999997,0.47368421052631576,10.0
1.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.5,1.0,0.25,1.0,0.75,0.0,0.4666666666666666,0.47368421052631576,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.0,0.0,1.0,0.09375,0.8666666666666667,0.894736842105263,17.0
1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.5,0.5,0.0,0.0,0.5,0.5625,0.39999999999999997,0.5263157894736842,10.0
0.0,0.0,0.0,0.25,0.25,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.75,0.75,0.5,0.25,0.75,0.75,0.375,0.26666666666666666,0.5789473684210527,10.0
1.0,1.0,1.0,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.25,1.0,0.4375,0.7333333333333334,0.7368421052631579,17.0
0.0,1.0,0.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,0.5,0.0,0.0,0.0,0.0,0.4666666666666666,0.6842105263157894,12.0
1.0,0.0,1.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.25,1.0,0.0625,0.3333333333333333,0.47368421052631576,9.0
1.0,0.0,1.0,0.75,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.75,1.0,0.0,0.4666666666666666,0.5789473684210527,14.0
1.0,0.0,0.0,0.75,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,0.5,0.5,0.0,0.5,1.0,0.25,0.39999999999999997,0.47368421052631576,10.0
1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.25,0.0,0.25,0.5,0.65625,0.6000000000000001,0.6842105263157894,13.0
1.0,1.0,0.0,0.25,0.25,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.25,0.0,0.25,0.5333333333333334,0.5789473684210527,11.0
1.0,0.0,1.0,1.0,0.75,0.0,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.75,0.5,0.0,0.0,0.75,0.0,0.6666666666666667,0.7368421052631579,14.0
1.0,1.0,1.0,1.0,0.75,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.25,0.75,0.25,0.0,0.6000000000000001,0.631578947368421,12.0
1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.25,0.5,0.5,0.4666666666666666,0.5789473684210527,10.0
1.0,1.0,1.0,0.25,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5333333333333334,0.5789473684210527,12.0
1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.0,0.0,0.0,0.25,0.0625,0.39999999999999997,0.5789473684210527,12.0
0.0,1.0,1.0,0.5,0.5,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.6842105263157894,13.0
0.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.0,0.0,0.375,0.2,0.42105263157894735,9.0
1.0,1.0,1.0,0.75,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.4666666666666666,0.631578947368421,12.0
1.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.25,0.25,0.25,1.0,0.0,0.6000000000000001,0.6842105263157894,14.0
0.0,1.0,1.0,0.5,0.25,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666667,0.6842105263157894,14.0
1.0,0.0,1.0,0.75,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.7333333333333334,0.8421052631578947,17.0
0.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,0.5,0.5,0.0,1.0,0.0,0.9333333333333333,0.9473684210526315,18.0
1.0,0.0,0.0,0.25,0.75,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.75,0.0,0.75,1.0,0.4375,0.5333333333333334,0.5789473684210527,11.0
1.0,1.0,0.0,0.5,0.25,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0625,0.6000000000000001,0.6842105263157894,13.0
0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.0,0.25,0.0,0.1875,0.2,0.3684210526315789,8.0
0.0,1.0,0.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.75,0.15625,0.6666666666666667,0.7368421052631579,15.0
0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.25,0.0,0.5,0.25,0.15625,0.39999999999999997,0.5789473684210527,11.0
1.0,0.0,1.0,0.5,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.75,0.75,0.0,0.5,0.5,0.34375,0.3333333333333333,0.5789473684210527,12.0
1.0,1.0,1.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.0,0.0,0.25,0.0,0.39999999999999997,0.47368421052631576,12.0
1.0,1.0,1.0,0.25,0.25,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,0.5,1.0,0.375,0.39999999999999997,0.5263157894736842,11.0
1.0,1.0,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.25,1.0,0.125,0.5333333333333334,0.5789473684210527,11.0
1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.25,0.75,0.0,0.75,0.5,0.1875,0.4666666666666666,0.631578947368421,12.0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.25,0.0,0.0,0.25,1.0,0.1875,0.39999999999999997,0.42105263157894735,9.0
0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.5,0.0,0.25,1.0,0.34375,0.5333333333333334,0.6842105263157894,12.0
